hidden_size,activation,num_iterations,forward_mse_mean,forward_mse_std,inverse_mse_mean,inverse_mse_std,roundtrip_mse_mean,roundtrip_mse_std,final_loss_mean,final_loss_std,runtime_seconds_mean,runtime_seconds_std
1,leaky_relu,1,0.152623,0.009405,0.003391,0.001131,10.043545,8.732628,0.159228,0.002728,2.865145,0.00664
1,leaky_relu,2,0.480482,0.121534,0.223014,0.110198,5.45162,2.377327,2.294735,0.148076,3.496729,0.032154
1,leaky_relu,3,0.410832,0.435612,0.158399,0.241707,72.235487,97.802711,4.064846,2.119526,4.042958,0.003406
1,leaky_relu,4,0.59558,0.416353,0.270544,0.230022,17.670321,15.582633,10.46598,3.52503,4.571216,0.007533
1,leaky_relu,5,0.783484,0.406085,0.44221,0.068989,224.602372,381.383132,19.30176,1.475696,5.140551,0.032514
1,relu,1,0.161214,0.004705,0.003528,0.001093,16.197637,20.161837,0.161129,0.004958,2.86833,0.00792
1,relu,2,0.380098,0.255668,0.183526,0.261379,8.036126,6.327897,2.463495,0.589708,3.503754,0.008547
1,relu,3,0.360141,0.219126,0.159418,0.144086,4.650402,3.272153,6.427424,1.403272,4.053369,0.007364
1,relu,4,1.120203,0.165323,0.436075,0.14641,4.040814,2.196399,16.3334,2.626242,4.585609,0.004969
1,relu,5,0.42571,0.511254,0.178813,0.288808,4.247353,3.401081,18.512783,4.623783,5.130514,0.022934
1,sigmoid,1,0.166832,0.010261,0.007467,0.007028,9.252139,9.654269,0.168803,0.008287,2.959374,0.020766
1,sigmoid,2,0.376805,0.032092,0.114705,0.013164,0.85359,0.307793,3.483315,0.418527,3.583247,0.010411
1,sigmoid,3,0.591651,0.080211,0.391484,0.145279,0.988647,0.153984,9.515654,0.057894,4.091469,0.030976
1,sigmoid,4,0.74642,0.055298,0.618921,0.109154,1.041978,0.048013,18.6395,0.172395,4.624364,0.023504
1,sigmoid,5,0.934718,0.083269,0.73407,0.110764,1.105831,0.107864,29.977061,1.015783,5.337478,0.268132
1,tanh,1,0.167795,0.010245,0.004887,0.000202,4.328174,1.739474,0.161301,0.000922,2.872356,0.030533
1,tanh,2,0.257211,0.025108,0.053456,0.013128,0.620582,0.114549,2.14236,0.070783,3.519287,0.085055
1,tanh,3,0.447464,0.094387,0.244164,0.109944,1.082086,0.297973,6.455413,0.243324,4.127924,0.02113
1,tanh,4,0.663361,0.207231,0.40028,0.260855,1.160887,0.092478,16.326067,7.230294,4.645866,0.049218
1,tanh,5,0.450467,0.051852,0.396829,0.088478,1.461909,0.40724,19.601934,1.110116,5.101435,0.007337
1,tanhshrink,1,0.156338,0.010448,0.003083,0.000269,24.449549,31.313995,0.16162,0.002797,2.858769,0.00634
1,tanhshrink,2,0.166073,0.013276,0.061482,0.0049,3.238051,3.949726,0.590461,0.044582,3.526569,0.004328
1,tanhshrink,3,0.29044,0.077101,0.175229,0.077412,34.064996,44.396694,2.729182,1.373652,4.230512,0.087013
1,tanhshrink,4,0.437528,0.162063,0.288991,0.113791,1.677389,0.16906,4.61328,1.595104,4.81451,0.145207
